Nazwisko aktualne,Liczba
SOWIŃSKI,6581
KLIMCZAK,6578
CZYŻ,6571
GOŁĘBIOWSKI,6548
ROSIŃSKI,6531
BIENIEK,6502
KUŚ,6488
DROZD,6435
GRUSZKA,6434
GODLEWSKI,6432
SKRZYPCZAK,6409
AUGUSTYNIAK,6406
KRAWIEC,6393
GROCHOWSKI,6371
PANEK,6357
PTAK,6353
PRZYBYŁA,6322
GIL,6257
KOMOROWSKI,6241
WINIARSKI,6215
RÓŻAŃSKI,6206
KONOPKA,6199
SIWEK,6145
SŁOWIK,6142
CYBULSKI,6141
KULIK,6106
LEŚNIEWSKI,6098
GRZYB,6075
SZCZEPANIK,6074
KŁOS,6061
KRZYŻANOWSKI,6061
CICHOŃ,6032
ZARZYCKI,6018
ZAREMBA,6008
GRACZYK,5995
TOKARSKI,5988
MIELCZAREK,5973
KACZYŃSKI,5959
MŁYNARCZYK,5945
MIKOŁAJCZAK,5919
STAŃCZYK,5882
STRZELECKI,5878
CICHOCKI,5876
SZOSTAK,5876
SZYMCZYK,5876
BUCZEK,5874
BIERNAT,5853
WĘGRZYN,5852
JUREK,5837
MAĆKOWIAK,5795
SZCZYGIEŁ,5788
SKOWRON,5786
GĄSIOR,5783
BARTKOWIAK,5781
JANUS,5779
BOGUSZ,5750
CIEŚLA,5725
FILIPIAK,5722
GAWRON,5718
KALETA,5685
JANIAK,5672
NIEWIADOMSKI,5657
KUCHARCZYK,5638
RZEPKA,5635
KULA,5630
KOSTRZEWA,5628
KUBIK,5624
PAŁKA,5618
KSIĄŻEK,5603
RAKOWSKI,5600
BAGIŃSKI,5587
SIENKIEWICZ,5578
GAWLIK,5563
RÓŻYCKI,5532
ANTCZAK,5486
FRĄCZEK,5478
BARTCZAK,5477
MALEC,5470
ZARĘBA,5469
BANASIAK,5422
TRZCIŃSKI,5411
ŻEBROWSKI,5391
KRÓLIKOWSKI,5388
ROGALSKI,5370
DŁUGOSZ,5356
HAJDUK,5354
MIKULSKI,5335
ROGALA,5314
ROJEK,5269
LACH,5264
BOREK,5259
TKACZYK,5251
KISIEL,5248
GRZEGORCZYK,5238
TROJANOWSKI,5224
GAWROŃSKI,5208
STEC,5205
WITCZAK,5190
DOBOSZ,5184
MALISZEWSKI,5179
WĄSIK,5167
WOLNY,5165
RYBICKI,5162
RADOMSKI,5142
ŚLUSARCZYK,5137
MIKA,5101
KMIECIK,5045
BIAŁAS,5042
ZABOROWSKI,5037
PAWELEC,5020
GAŁĄZKA,5017
WALKOWIAK,5011
GRZESIAK,5010
KACZOROWSKI,5007
BOGUCKI,4990
LIPSKI,4987
SOKÓŁ,4982
FRANKOWSKI,4959
WNUK,4959
FRĄCKOWIAK,4958
BOCHENEK,4933
CICHY,4932
KARWOWSKI,4925
ZYGMUNT,4913
KWAŚNIEWSKI,4884
NAWROT,4869
WÓJCICKI,4868
ŻMUDA,4866
WIĘCKOWSKI,4865
JUSZCZAK,4844
DUDZIŃSKI,4833
JANAS,4812
PIETRAS,4805
GAWEŁ,4796
MROCZEK,4776
PASTERNAK,4759
SKRZYPEK,4747
LASOTA,4739
ROSIAK,4739
WOJTCZAK,4733
ŁAPIŃSKI,4729
KOŁODZIEJSKI,4728
JĘDRZEJCZYK,4725
MISIAK,4722
WROŃSKI,4713
KARAŚ,4709
PIÓRKOWSKI,4709
KRYSIAK,4705
BURZYŃSKI,4704
BUJAK,4702
FIJAŁKOWSKI,4702
DĄBEK,4685
CZYŻEWSKI,4679
GRUSZCZYŃSKI,4669
KUBACKI,4669
PIWOWARCZYK,4645
GUTOWSKI,4638
MASŁOWSKI,4612
SOŁTYS,4606
BOROWIEC,4605
SZAFRAŃSKI,4605
JAGODZIŃSKI,4590
ŁUKASZEWSKI,4586
STELMACH,4583
KAŁUŻNY,4580
ZAJĄCZKOWSKI,4574
TARNOWSKI,4573
JAGIEŁŁO,4565
ZIELONKA,4563
CEBULA,4547
ŁUKASIEWICZ,4543
LISIECKI,4542
BIELAWSKI,4540
KAŁUŻA,4539
WOŹNY,4533
CYGAN,4532
PILARSKI,4518
KRAKOWIAK,4514
JURKIEWICZ,4512
SKIBIŃSKI,4503
SKOCZYLAS,4491
DRZEWIECKI,4487
SZCZEŚNIAK,4486
WILCZEK,4485
FALKOWSKI,4481
PAKUŁA,4480
BOBER,4467
FILIPEK,4466
JĘDRZEJCZAK,4463
KĘDZIORA,4440
SOBIERAJ,4436
JAKUBIAK,4424
GĄSIOROWSKI,4419
STRZELCZYK,4415
DĘBOWSKI,4413
TWARDOWSKI,4401
FLIS,4396
RACZYŃSKI,4371
KUBICA,4356
GOŁĄB,4348
WASIAK,4348
MIERZEJEWSKI,4346
STANEK,4332
GUZIK,4322
GÓRNIAK,4317
GÓRAL,4313
WIĘCEK,4312
BARTOSIK,4297
KULIG,4297
MAJCHER,4293
WOLAK,4291
MATUSZAK,4254
MOTYKA,4246
DROZDOWSKI,4240
GRZYWACZ,4236
SZWED,4235
BILSKI,4230
RUSIN,4230
NOWACZYK,4222
CHOLEWA,4216
CZAPLA,4206
BURY,4204
DZIUBA,4202
WOJTAS,4190
STOLARCZYK,4189
FLOREK,4184
KOPCZYŃSKI,4180
KRUPIŃSKI,4175
PACZKOWSKI,4175
URBAŃCZYK,4175
PYTEL,4164
KASZUBA,4159
JAŚKIEWICZ,4148
MICHAŁEK,4148
PROKOP,4131
KUC,4128
GWÓŹDŹ,4127
MISZTAL,4124
RUCIŃSKI,4120
MALICKI,4114
